OBJECTID,River,RiverSeg,Year,BHSK,BKBH,BKCP,BKTT,BLGL,BNTT,CARP,CNCF,FHMW,FMSK,GNSF,GZSD,HBCB,LMBS,MOSQ,PLKF,RBSK,RBTT,RDSN,RTCB,SDBS,SPDC,TFSD,WLYE,YLBH
24,Colorado,Middle,1992,0,0.002066116000000,0,0,0,1.070247934000000,0.725206612000000,0,0.264462810000000,0.183884298000000,0,0,0.882231405000000,0,0,0,0,1.917355372000000,0,0,0,0.105371901000000,0,0,0
25,Colorado,Middle,1993,0,0.003663004000000,0,0,0,0.338827839000000,0.377289377000000,0,0.340659341000000,0.184981685000000,0,0,2.457875458000000,0,0,0,0,0.826007326000000,0,0,0,0.536630037000000,0,0,0
26,Colorado,Middle,1994,0,0.000000000000000,0,0,0,0.061538462000000,0.030769231000000,0,1.661538462000000,0.153846154000000,0,0,2.692307692000000,0,0,0,0,1.507692308000000,0,0,0,0.569230769000000,0,0,0
27,Colorado,Middle,1995,0,0.000000000000000,0,0,0,0.000000000000000,3.125000000000000,0,0.500000000000000,0.000000000000000,0,0,0.000000000000000,0,0,0,0,0.125000000000000,0,0,0,0.125000000000000,0,0,0
28,Colorado,Middle,1996,0,0.000000000000000,0,0,0,0.071428571000000,0.116071429000000,0,0.821428571000000,0.089285714000000,0,0,0.392857143000000,0,0,0,0,2.232142857000000,0,0,0,0.133928571000000,0,0,0
29,Colorado,Middle,1997,0,0.000000000000000,0,0,0,0.107526882000000,0.537634409000000,0,2.000000000000000,0.053763441000000,0,0,0.150537634000000,0,0,0,0,3.021505376000000,0,0,0,0.129032258000000,0,0,0
30,Colorado,Middle,1998,0,0.000000000000000,0,0,0,1.901639344000000,0.262295082000000,0,0.819672131000000,0.475409836000000,0,0,1.163934426000000,0,0,0,0,5.213114754000000,0,0,0,0.852459016000000,0,0,0
31,Colorado,Middle,1999,0,0.000000000000000,0,0,0,0.941176471000000,0.470588235000000,0,0.117647059000000,0.152941177000000,0,0,0.929411765000000,0,0,0,0,5.611764706000000,0,0,0,0.152941177000000,0,0,0
32,Colorado,Middle,2000,0,0.000000000000000,0,0,0,3.153465347000000,0.683168317000000,0,0.024752475000000,0.207920792000000,0,0,0.074257426000000,0,0,0,0,6.445544555000000,0,0,0,0.004950495000000,0,0,0
33,Colorado,Middle,2001,0,0.000000000000000,0,0,0,2.262135922000000,0.233009709000000,0,0.009708738000000,0.097087379000000,0,0,0.009708738000000,0,0,0,0,6.640776699000000,0,0,0,0.009708738000000,0,0,0
34,Colorado,Middle,2002,0,0.002325581000000,0,0,0,1.230232558000000,0.560465116000000,0,0.011627907000000,0.116279070000000,0,0,0.016279070000000,0,0,0,0,1.886046512000000,0,0,0,0.013953488000000,0,0,0
35,Colorado,Middle,2003,0,0.000000000000000,0,0,0,1.524861879000000,0.491712707000000,0,0.005524862000000,0.171270718000000,0,0,0.008287293000000,0,0,0,0,1.558011050000000,0,0,0,0.019337017000000,0,0,0
36,Colorado,Middle,2004,0,0.000000000000000,0,0,0,0.956962025000000,0.478481013000000,0,0.015189873000000,0.268354430000000,0,0,0.022784810000000,0,0,0,0,1.387341772000000,0,0,0,0.040506329000000,0,0,0
37,Colorado,Middle,2005,0,0.000000000000000,0,0,0,0.579804560000000,0.302931596000000,0,0.074918567000000,0.420195440000000,0,0,0.055374593000000,0,0,0,0,0.374592834000000,0,0,0,0.244299674000000,0,0,0
38,Colorado,Middle,2006,0,0.000000000000000,0,0,0,0.109826590000000,0.387283237000000,0,0.271676301000000,1.702312139000000,0,0,0.037572254000000,0,0,0,0,0.309248555000000,0,0,0,0.404624278000000,0,0,0
39,Colorado,Middle,2007,0,0.004854369000000,0,0,0,0.145631068000000,0.174757282000000,0,0.089805825000000,1.305825243000000,0,0,0.048543689000000,0,0,0,0,0.347087379000000,0,0,0,0.351941748000000,0,0,0
40,Colorado,Middle,2008,0,0.007117438000000,0,0,0,0.708185053000000,0.199288256000000,0,0.056939502000000,0.978647687000000,0,0,0.017793594000000,0,0,0,0,1.120996441000000,0,0,0,0.302491103000000,0,0,0
